DateMonth,client,noOfTickets
2018/05,BLK,2928
2018/05,BNPPAM,16
2018/05,BNY,17
2018/05,BNYMAS,40
2018/05,BOCI PRU,1
2018/05,BOEING,74
2018/05,BRAEBURN,3
2018/05,BSP,16
2018/05,CAL,20
2018/05,CALSTRS,28
2018/05,CANO,15
2018/05,CAPGROUP,63
2018/05,CATLIN,32
2018/05,CFS,42
2018/05,CHIMERA,4
2018/05,COAL,8
2018/05,COMPASS,12
2018/05,CSAM,45
2018/05,DAN,1
2018/05,DAWM,661
2018/05,DELLIFE,1
2018/05,DISNEY,21
2018/05,DLG,18
2018/05,DTCC,52
2018/05,DYNEX,14
2018/05,EASTSPRING,147
2018/05,EATONVANCE,83
2018/05,ENDUR,64
2018/05,ENS,15
2018/05,EQUITRUST,7
2018/05,EdwardJones,5
2018/05,FANNIEMAE,4
2018/05,FITB,45
2018/05,FRBNY,4
2018/05,FRE,43
2018/05,GAFG,42
2018/05,GEAM,37
2018/05,GENWORTH,15
2018/05,GIC,64
2018/05,GMAC,9
2018/05,GOOGLE,2
2018/05,GREYCASTLE,1
2018/05,GSMM,4
2018/05,GUGGENHEIM,47
2018/05,HCSC,15
2018/05,HIC,16
2018/05,HIERS,7
2018/05,HIM,113
2018/05,HMANN,9
2018/05,HORIZON,2
2018/05,IBM,1
2018/05,IIM,65
2018/05,ILLTRS,29
2018/05,ING,93
2018/05,INVESCO,129
2018/05,ISSSTE,6
2018/05,JPM-Pension,13
2018/05,JPM-Team,32
2018/05,JUPITER,37
2018/05,KRK,46
2018/05,LANC,74
2018/05,LB2,11
2018/05,LCP,21
2018/05,LMGINV,39
2018/05,LW1,6
2018/05,Latvijas Banka,11
2018/05,MEAG,28
2018/05,MERCK,9
2018/05,METAFORE,4
2018/05,METLIFE,81
2018/05,MHTB,2
2018/05,MICHELIN,7
2018/05,MIZUHO,49
2018/05,MIZUHOBANK,19
2018/05,MO1,6
2018/05,MS-INS,8
2018/05,MSIM,103
2018/05,NBG,56
2018/05,NDRIO,11
2018/05,NGUKPS,6
2018/05,NIK,2
2018/05,NJM,6
2018/05,NLI,1
2018/05,NMXERB,46
2018/05,NOKIA,7
2018/05,NOVAE,4
2018/05,NT,16
2018/05,NTGA,7
2018/05,NTGI,30
2018/05,NWM,23
2018/05,NYLIM,26
2018/05,NYSCRF,60
2018/05,NYSIF,14
2018/05,OCICL,2
2018/05,ONEAMERICA,5
2018/05,ONEWEST,10
2018/05,ONFA,10
2018/05,OREGON,8
2018/05,PARTNERRE,3
2018/05,PB2,12
2018/05,PBGC,13
2018/05,PD1,77
2018/05,PFA,3
2018/05,PG1,26
2018/05,PIONEER,111
2018/05,PNC,73
2018/05,PPF,68
2018/05,PPMG,127
2018/05,PRINCIPAL,25
2018/05,PRU,77
2018/05,PRUGP,5
2018/05,PSERS,9
2018/05,QIC,34
2018/05,QUALCOMM,5
2018/05,RAYTHEON,41
2018/05,RED,13
2018/05,REGIONS,21
2018/05,RENRE,20
2018/05,REUTERS,11
2018/05,RGA,21
2018/05,RVSI,117
2018/05,SCHRODERS,183
2018/05,SCHWAB,6
2018/05,SEI,141
2018/05,SELECTIVE,1
2018/05,SENTINEL,9
2018/05,SGCP,2
2018/05,SH1,10
2018/05,SLOAN,2
2018/05,SMAM,11
2018/05,SPC,3
2018/05,SUNLIFE,17
2018/05,SUNSUPER,15
2018/05,SURAAM,19
2018/05,SW1,9
2018/05,SWISSRE,56
2018/05,TDBANK,3
2018/05,TEA,13
2018/05,TFL,4
2018/05,TOKMAR,45
2018/05,TWG,1
2018/05,UAWRMBT,44
2018/05,UBSWM,9
2018/05,UCREGENTS,41
2018/05,UNIONBANK,23
2018/05,UP1,38
2018/05,VALIDUS,10
2018/05,VANGUARD,76
2018/05,VIMCO,23
2018/05,VRS,5
2018/05,WACHOVIA,21
2018/05,WATFORD,3
2018/05,WBLAIR,2
2018/05,WRBERKLEY,14
2018/06,,207
2018/06,1199,6
2018/06,ABN,8
2018/06,AC1,37
2018/06,AEG,41
2018/06,AEGONUK,3
2018/06,AFLAC,28
2018/06,AGFSA,6
2018/06,AHSS,24
2018/06,AIRBUS,4
2018/06,AKAAN,12
2018/06,ALIMCO,6
2018/06,ALLEGHANY,4
2018/06,ALLSTATE,68
2018/06,AMBAC,23
2018/06,AMCAP,1
2018/06,AMFAM,15
2018/06,AMP,17
2018/06,APFC,10
2018/06,ARCH,47
2018/06,ARGO,9
2018/06,ARMOUR,13
2018/06,ASPEN,6
2018/06,ATHENE,20
2018/06,ATT,3
2018/06,AUSSUPER,9
2018/06,AVIVA,102
2018/06,AWAC,15
2018/06,AXIS,35
2018/06,BANAMEX,46
2018/06,BCBSM,3
2018/06,BEN,1
2018/06,BHF,67
2018/06,BKI,1
2018/06,BLK,2361
2018/06,BNPPAM,23
2018/06,BNY,21
2018/06,BNYMAS,48
2018/06,BOCI PRU,1
2018/06,BOEING,68
2018/06,BRAEBURN,1
2018/06,BSP,14
2018/06,CAL,33
2018/06,CALSTRS,47
2018/06,CANO,14
2018/06,CAPGROUP,77
2018/06,CATLIN,39
2018/06,CFS,29
2018/06,CHIMERA,6
2018/06,COAL,6
2018/06,COMMONFUND,2
2018/06,COMPASS,19
2018/06,CSAM,67
2018/06,CSPK,13
2018/06,DAN,8
2018/06,DAWM,631
2018/06,DELLIFE,3
2018/06,DISNEY,12
2018/06,DLG,20
2018/06,DTCC,44
2018/06,DYNEX,8
2018/06,EASTSPRING,213
2018/06,EATONVANCE,52
2018/06,ENDUR,56
2018/06,ENS,17
2018/06,EQUITRUST,10
2018/06,EdwardJones,4
2018/06,FANNIEMAE,5
2018/06,FITB,49
2018/06,FNFG,2
2018/06,FRBNY,5
2018/06,FRE,31
2018/06,GAFG,53
2018/06,GEAM,32
2018/06,GENWORTH,11
2018/06,GIC,49
2018/06,GMAC,19
2018/06,GOOGLE,3
2018/06,GREYCASTLE,3
2018/06,GSMM,2
2018/06,GUGGENHEIM,47
2018/06,HCSC,11
2018/06,HIC,17
2018/06,HIERS,10
2018/06,HIM,93
2018/06,HMANN,8
2018/06,HORIZON,10
2018/06,IBM,1
2018/06,IIM,62
2018/06,ILLTRS,29
2018/06,ING,114
2018/06,INVESCO,135
2018/06,ISSSTE,5
2018/06,JPM-Pension,7
2018/06,JPM-Team,35
2018/06,JUPITER,27
2018/06,KRK,55
2018/06,LANC,62
2018/06,LB2,7
2018/06,LCP,10
2018/06,LMGINV,34
2018/06,LW1,1
2018/06,MEAG,38
2018/06,MERCK,8
2018/06,METLIFE,74
2018/06,MHTB,1
2018/06,MICHELIN,5
2018/06,MIZUHO,30
2018/06,MIZUHOBANK,5
2018/06,MO1,4
2018/06,MS-INS,5
2018/06,MSIM,117
2018/06,NBG,73
2018/06,NDRIO,24
2018/06,NGUKPS,9
2018/06,NJM,2
2018/06,NLI,2
2018/06,NMXERB,43
2018/06,NOKIA,8
2018/06,NT,16
2018/06,NTGA,10
2018/06,NTGI,27
2018/06,NWM,32
2018/06,NYLIM,19
2018/06,NYSCRF,63
2018/06,NYSIF,11
2018/06,OCICL,6
2018/06,ONEAMERICA,6
2018/06,ONEWEST,8
2018/06,ONFA,8
2018/06,OREGON,6
2018/06,PARTNERRE,11
2018/06,PB2,16
2018/06,PBGC,35
2018/06,PD1,69
2018/06,PFA,2
2018/06,PG1,32
2018/06,PIONEER,72
2018/06,PNC,116
2018/06,PPF,58
2018/06,PPMG,154
2018/06,PR4,1
2018/06,PRINCIPAL,23
2018/06,PRU,81
2018/06,PRUGP,13
2018/06,PSERS,17
2018/06,QIC,29
2018/06,QUALCOMM,8
2018/06,RAYTHEON,14
2018/06,RED,16
2018/06,REGIONS,27
2018/06,RENRE,31
2018/06,REUTERS,6
2018/06,RGA,17
2018/06,RVSI,102
2018/06,SBAFLA,12
2018/06,SCHRODERS,170
2018/06,SCHWAB,10
2018/06,SEI,174
2018/06,SELECTIVE,3
2018/06,SENTINEL,7
2018/06,SGCP,6
2018/06,SH1,6
2018/06,SMAM,7
2018/06,SUNLIFE,8
2018/06,SUNSUPER,18
2018/06,SURAAM,27
2018/06,SW1,7
2018/06,SWISSRE,34
2018/06,TDBANK,13
2018/06,TEA,11
2018/06,TFL,1
2018/06,TOKMAR,34
2018/06,TWG,2
2018/06,UAWRMBT,38
2018/06,UBSWM,3
2018/06,UCREGENTS,34
2018/06,UNIONBANK,21
2018/06,UP1,35
2018/06,VALIDUS,4
2018/06,VANGUARD,65
2018/06,VIMCO,24
2018/06,VRS,22
2018/06,WACHOVIA,20
2018/06,WBLAIR,5
2018/06,WRBERKLEY,10
2018/07,,182
2018/07,1199,11
2018/07,ABN,16
2018/07,AC1,23
2018/07,AEG,41
2018/07,AEGONUK,8
2018/07,AFLAC,26
2018/07,AGFSA,2
2018/07,AHSS,24
2018/07,AIRBUS,1
2018/07,AKAAN,13
2018/07,ALIMCO,4
2018/07,ALLEGHANY,3
2018/07,ALLSTATE,52
2018/07,ALX,1
2018/07,AMBAC,14
2018/07,AMCAP,7
2018/07,AMFAM,23
2018/07,AMP,19
2018/07,ANDWM,1
2018/07,APFC,9
2018/07,ARCH,42
2018/07,ARGO,3
2018/07,ARMOUR,9
2018/07,ASPEN,7
2018/07,ATHENE,15
2018/07,ATT,1
2018/07,AUSSUPER,17
2018/07,AVIVA,96
2018/07,AWAC,7
2018/07,AXIS,25
2018/07,BANAMEX,45
2018/07,BANKINVEST,1
2018/07,BCBSM,8
2018/07,BEN,1
2018/07,BHF,63
2018/07,BKI,2
2018/07,BLK,2762
2018/07,BNPPAM,19
2018/07,BNY,17
2018/07,BNYM-PA,1
2018/07,BNYMAS,45
2018/07,BOCI PRU,3
2018/07,BOEING,70
2018/07,BRAEBURN,4
2018/07,BSP,12
2018/07,CAL,59
2018/07,CALSTRS,35
2018/07,CAM,2
2018/07,CANO,22
2018/07,CAPGROUP,59
2018/07,CATLIN,25
2018/07,CFS,39
2018/07,CHIMERA,3
2018/07,CITIZENS,26
2018/07,COAL,15
2018/07,COMPASS,12
2018/07,COSMOS,1
2018/07,CSAM,101
2018/07,CSPK,20
2018/07,DAIWA,67
2018/07,DAN,2
2018/07,DAWM,551
2018/07,DELLIFE,24
2018/07,DISNEY,14
2018/07,DLG,23
2018/07,DTCC,52
2018/07,DYNEX,4
2018/07,EASTSPRING,179
2018/07,EATONVANCE,55
2018/07,ENDUR,59
2018/07,ENS,23
2018/07,EQUITRUST,7
2018/07,EdwardJones,10
2018/07,FANNIEMAE,3
2018/07,FITB,45
2018/07,FNFG,6
2018/07,FRBNY,26
2018/07,FRE,36
2018/07,GAFG,37
2018/07,GEAM,27
2018/07,GENWORTH,16
2018/07,GIC,54
2018/07,GMAC,17
2018/07,GOOGLE,4
2018/07,GREYCASTLE,3
2018/07,GSMM,3
2018/07,GUGGENHEIM,42
2018/07,HCSC,15
2018/07,HIC,15
2018/07,HIERS,4
2018/07,HIM,112
2018/07,HMANN,17
2018/07,HORIZON,6
2018/07,HSBCAW,1
2018/07,IBM,12
2018/07,IIM,87
2018/07,ILLTRS,40
2018/07,ING,93
2018/07,INVESCO,114
2018/07,ISSSTE,13
2018/07,JPM-Pension,14
2018/07,JPM-Team,36
2018/07,JUPITER,26
2018/07,KRK,51
2018/07,LANC,53
2018/07,LB2,12
2018/07,LCP,7
2018/07,LMGINV,25
2018/07,LW1,4
2018/07,MACQUARIE,1
2018/07,MEAG,33
2018/07,MERCK,8
2018/07,METAFORE,2
2018/07,METLIFE,95
2018/07,MHTB,2
2018/07,MICHELIN,4
2018/07,MIZUHO,34
2018/07,MIZUHOBANK,9
2018/07,MLW,1
2018/07,MO1,14
2018/07,MS-INS,5
2018/07,MSIM,77
2018/07,MSWM,1
2018/07,NBG,98
2018/07,NDRIO,24
2018/07,NGUKPS,11
2018/07,NINEPOINT,1
2018/07,NJM,2
2018/07,NLI,3
2018/07,NMXERB,46
2018/07,NOKIA,5
2018/07,NT,7
2018/07,NTGA,3
2018/07,NTGI,30
2018/07,NWM,20
2018/07,NYLIM,16
2018/07,NYSCRF,92
2018/07,NYSIF,17
2018/07,OCICL,2
2018/07,ONEAMERICA,9
2018/07,ONEWEST,6
2018/07,ONFA,15
2018/07,OREGON,9
2018/07,PARTNERRE,5
2018/07,PB2,23
2018/07,PBGC,42
2018/07,PD1,63
2018/07,PFA,10
2018/07,PG1,29
2018/07,PIONEER,56
2018/07,PNC,70
2018/07,PPF,38
2018/07,PPMG,150
2018/07,PR4,1
2018/07,PRINCIPAL,26
2018/07,PRU,87
2018/07,PRUGP,8
2018/07,PSERS,9
2018/07,QIC,32
2018/07,QUALCOMM,14
2018/07,RAYTHEON,16
2018/07,RED,9
2018/07,REGIONS,33
2018/07,RENRE,23
2018/07,REUTERS,5
2018/07,RGA,32
2018/07,RVSI,82
2018/07,SBAFLA,12
2018/07,SCHRODERS,213
2018/07,SCHWAB,21
2018/07,SEI,124
2018/07,SELECTIVE,17
2018/07,SENTINEL,5
2018/07,SGCP,11
2018/07,SH1,10
2018/07,SLOAN,1
2018/07,SMAM,5
2018/07,SMBCNIKKO,1
2018/07,STANDISH,1
2018/07,SUNLIFE,8
2018/07,SUNSUPER,13
2018/07,SURAAM,16
2018/07,SW1,5
2018/07,SWISSRE,44
2018/07,TDBANK,5
2018/07,TEA,10
2018/07,TFL,1
2018/07,TOKMAR,55
2018/07,TORPEDO,1
2018/07,TWG,2
2018/07,UAWRMBT,27
2018/07,UBSWM,2
2018/07,UCREGENTS,14
2018/07,UNICREDIT,1
2018/07,UNIONBANK,14
2018/07,UP1,40
2018/07,VALIDUS,11
2018/07,VANGUARD,71
2018/07,VIMCO,33
2018/07,VRS,18
2018/07,WACHOVIA,24
2018/07,WATFORD,9
2018/07,WBLAIR,4
2018/07,WRBERKLEY,14
2018/07,ZEUS,1
2018/08,,140
2018/08,1199,6
2018/08,ABN,8
2018/08,AC1,32
2018/08,ACE,1
2018/08,AEG,36
2018/08,AEGONUK,19
2018/08,AFLAC,26
2018/08,AGFSA,1
2018/08,AHSS,9
2018/08,AIRBUS,2
2018/08,AKAAN,5
2018/08,ALIMCO,5
2018/08,ALLEGHANY,6
2018/08,ALLSTATE,78
2018/08,AMBAC,17
2018/08,AMCAP,5
2018/08,AMFAM,10
2018/08,AMP,25
2018/08,APFC,19
2018/08,ARCH,45
2018/08,ARGO,5
2018/08,ARMOUR,10
2018/08,ASPEN,4
2018/08,ATHENE,18
2018/08,ATT,4
2018/08,AUSSUPER,19
2018/08,AVIVA,84
2018/08,AWAC,18
2018/08,AXIS,11
2018/08,BANAMEX,30
2018/08,BCBSM,4
2018/08,BEN,4
2018/08,BHF,31
2018/08,BKI,2
2018/08,BLK,3107
2018/08,BNPPAM,18
2018/08,BNY,9
2018/08,BNYM-PA,1
2018/08,BNYMAS,53
2018/08,BOCI PRU,4
2018/08,BOEING,65
2018/08,BRAEBURN,5
2018/08,BSP,14
2018/08,CAL,52
2018/08,CALSTRS,26
2018/08,CAM,2
2018/08,CANO,18
2018/08,CAPGROUP,45
2018/08,CATLIN,20
2018/08,CFS,39
2018/08,CHIMERA,4
2018/08,CITIZENS,45
2018/08,CMLA,59
2018/08,COAL,19
2018/08,COMMONFUND,2
2018/08,COMPASS,16
2018/08,COSMOS,1
2018/08,CSAM,111
2018/08,CSPK,25
2018/08,DAIWA,32
2018/08,DAN,3
2018/08,DAWM,476
2018/08,DELLIFE,25
2018/08,DISNEY,13
2018/08,DLG,19
2018/08,DTCC,56
2018/08,DYNEX,10
2018/08,EASTSPRING,197
2018/08,EATONVANCE,61
2018/08,ENDUR,61
2018/08,ENS,21
2018/08,EQUITRUST,13
2018/08,EXELON,10
2018/08,EdwardJones,7
2018/08,FANNIEMAE,7
2018/08,FITB,22
2018/08,FNFG,4
2018/08,FRBNY,3
2018/08,FRE,16
2018/08,GAFG,35
2018/08,GEAM,14
2018/08,GENWORTH,12
2018/08,GIC,45
2018/08,GMAC,8
2018/08,GREYCASTLE,2
2018/08,GSMM,6
2018/08,GUGGENHEIM,66
2018/08,HCSC,11
2018/08,HIC,14
2018/08,HIM,84
2018/08,HMANN,25
2018/08,HORIZON,29
2018/08,IBM,11
2018/08,IIM,63
2018/08,ILLTRS,36
2018/08,ING,102
2018/08,INVESCO,88
2018/08,ISSSTE,9
2018/08,JPM-PA,1
2018/08,JPM-Pension,16
2018/08,JPM-Team,35
2018/08,JUPITER,45
2018/08,KRK,34
2018/08,LANC,59
2018/08,LB2,18
2018/08,LMGINV,25
2018/08,MACQUARIE,1
2018/08,MEAG,22
2018/08,MERCK,5
2018/08,METLIFE,77
2018/08,MHTB,3
2018/08,MICHELIN,3
2018/08,MIZUHO,31
2018/08,MIZUHOBANK,6
2018/08,MO1,7
2018/08,MS-INS,1
2018/08,MSIM,125
2018/08,NBG,114
2018/08,NDRIO,34
2018/08,NGUKPS,4
2018/08,NJM,1
2018/08,NLI,3
2018/08,NMXERB,48
2018/08,NOKIA,4
2018/08,NT,19
2018/08,NTGA,7
2018/08,NTGI,34
2018/08,NWM,26
2018/08,NYLIM,25
2018/08,NYSCRF,90
2018/08,NYSIF,5
2018/08,OCICL,2
2018/08,ONEAMERICA,5
2018/08,ONEWEST,2
2018/08,ONFA,23
2018/08,OREGON,3
2018/08,PARTNERRE,9
2018/08,PB2,48
2018/08,PBGC,40
2018/08,PD1,74
2018/08,PFA,5
2018/08,PG1,27
2018/08,PIONEER,38
2018/08,PNC,67
2018/08,PPF,42
2018/08,PPMG,163
2018/08,PR4,3
2018/08,PRINCIPAL,45
2018/08,PROMECAP,2
2018/08,PRU,98
2018/08,PRUGP,11
2018/08,PSERS,16
2018/08,QIC,27
2018/08,QUALCOMM,10
2018/08,RAYTHEON,12
2018/08,RED,14
2018/08,REGIONS,24
2018/08,RENRE,21
2018/08,REUTERS,19
2018/08,RGA,20
2018/08,RVSI,88
2018/08,SBAFLA,12
2018/08,SCHRODERS,324
2018/08,SCHWAB,12
2018/08,SEI,104
2018/08,SELECTIVE,13
2018/08,SENTINEL,4
2018/08,SGCP,3
2018/08,SH1,8
2018/08,SLOAN,4
2018/08,SMAM,2
2018/08,SMTB,1
2018/08,SUNLIFE,5
2018/08,SUNSUPER,9
2018/08,SURAAM,17
2018/08,SW1,9
2018/08,SWISSRE,35
2018/08,TDBANK,4
2018/08,TEA,6
2018/08,TFL,3
2018/08,TOKMAR,62
2018/08,TWG,2
2018/08,UAWRMBT,28
2018/08,UBSWM,2
2018/08,UCREGENTS,16
2018/08,UNIONBANK,18
2018/08,UP1,46
2018/08,VALIDUS,5
2018/08,VANGUARD,63
2018/08,VIMCO,24
2018/08,VRS,20
2018/08,WACHOVIA,16
2018/08,WATFORD,1
2018/08,WBLAIR,6
2018/08,WRBERKLEY,9
